Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2008,388,1,0,H3,90700,8,5177,5177,25586,0
2008,388,2,0,H3,908,8,73,73,985,0
2008,388,1,0,H3,908,8,35959,35959,286451,0
2008,388,1,0,H3,90820,8,335,335,1599,0
2008,388,1,0,H3,90830,8,265,265,1512,0
2008,388,1,0,H3,909,8,25672,25672,99911,0
2008,388,1,0,H3,90910,8,2145,2145,6533,0
2008,388,1,0,H3,90920,8,15043,15043,55760,0
2008,388,1,0,H3,901,8,265430,265430,1378248,0
2008,388,2,0,H3,901,8,11423062,11423062,27842452,6
2008,388,1,0,H3,90930,8,8165,8165,33486,0
2008,388,1,0,H3,90940,8,24,24,153,0
2008,388,3,0,H3,9,1,,,141347,0
2008,388,1,0,H3,90950,8,294,294,3979,0
2008,388,3,0,H3,910,8,29348,29348,141347,0
2008,388,2,0,H3,910,8,205995,205995,971821,0
2008,388,1,0,H3,910,8,317518,317518,1173147,0
2008,388,3,0,H3,91010,8,29348,29348,141347,0
2008,388,2,0,H3,91010,8,45601,45601,246376,0
2008,388,1,0,H3,91010,8,112188,112188,468374,0
2008,388,2,0,H3,91020,8,792,792,4350,0
2008,388,1,0,H3,91020,8,3931,3931,14458,0
2008,388,2,0,H3,91030,8,59505,59505,87475,0
2008,388,1,0,H3,91030,8,112212,112212,280557,0
2008,388,2,0,H3,91091,8,11241,11241,106182,0
2008,388,1,0,H3,91091,8,15869,15869,96425,0
2008,388,2,0,H3,91099,8,88857,88857,527437,0
2008,388,1,0,H3,91099,8,73319,73319,313334,0
2008,388,1,0,H3,904,8,906142,906142,2334680,0
2008,388,2,0,H3,904,8,562438,562438,2406279,0
2008,388,2,0,H3,90300,8,333,333,644,0
2008,388,1,0,H3,90240,8,92244,92244,493693,0
2008,388,2,0,H3,90420,8,532178,532178,2255167,0
2008,388,1,0,H3,90420,8,87011,87011,219567,0
2008,388,2,0,H3,905,8,10772,10772,22897,0
2008,388,1,0,H3,905,8,2045,2045,31893,0
2008,388,2,0,H3,90500,8,10772,10772,22897,0
2008,388,1,0,H3,90500,8,2045,2045,31893,0
2008,388,2,0,H3,90240,8,516,516,7704,0
2008,388,1,0,H3,90230,8,1952,1952,25202,0
2008,388,2,0,H3,90230,8,42592,42592,389684,0
2008,388,1,0,H3,90220,8,18296,18296,80641,0
2008,388,1,0,H3,90210,8,114410,114410,954349,0
2008,388,1,0,H3,902,8,226901,226901,1553885,0
2008,388,2,0,H3,902,8,60301,60301,489163,0
2008,388,1,0,H3,90190,8,206,206,958,0
2008,388,2,0,H3,90190,8,121,121,1667,0
2008,388,1,0,H3,90122,8,20755,20755,82497,0
2008,388,2,0,H3,90122,8,5602,5602,149005,0
2008,388,2,0,H3,90121,8,45887,45887,829227,0
2008,388,2,0,H3,90810,8,73,73,985,0
2008,388,1,0,H3,90810,8,35359,35359,283341,0
2008,388,1,0,H3,90112,8,64308,64308,190493,0
2008,388,2,0,H3,90112,8,2811,2811,85800,0
2008,388,1,0,H3,90111,8,180161,180161,1104300,0
2008,388,2,0,H3,90111,8,11368641,11368641,26776753,6
2008,388,1,0,H3,9,1,,,6981713,0
2008,388,2,0,H3,9,1,,,31737184,0
2009,388,2,0,H3,90411,8,104323,104323,579953,0
2009,388,1,0,H3,90411,8,250863,250863,951537,0
2009,388,2,0,H3,90412,8,10854,10854,40711,0
2009,388,3,0,H3,904,8,32,32,9416,0
2009,388,1,0,H3,90412,8,205168,205168,494389,0
2009,388,3,0,H3,90420,8,32,32,9416,0
2009,388,2,0,H3,90420,8,605377,605377,2005234,0
2009,388,1,0,H3,90420,8,76242,76242,189596,0
2009,388,2,0,H3,905,8,60262,60262,139613,0
2009,388,1,0,H3,905,8,1013,1013,10328,0
2009,388,2,0,H3,90500,8,60262,60262,139613,0
2009,388,1,0,H3,90500,8,1013,1013,10328,0
2009,388,2,0,H3,906,8,5900,5900,16857,0
2009,388,1,0,H3,906,8,32727,32727,103794,0
2009,388,2,0,H3,90619,8,319,319,806,0
2009,388,1,0,H3,90619,8,1152,1152,4515,0
2009,388,3,0,H3,90210,8,83,83,907,0
2009,388,2,0,H3,90620,8,52,52,788,0
2009,388,1,0,H3,90620,8,30437,30437,93739,0
2009,388,3,0,H3,902,8,83,83,907,0
2009,388,1,0,H3,907,8,4316,4316,17951,0
2009,388,2,0,H3,90190,8,391,391,14370,0
2009,388,1,0,H3,90700,8,4316,4316,17951,0
2009,388,2,0,H3,90122,8,10930,10930,118032,0
2009,388,2,0,H3,908,8,35,35,341,0
2009,388,1,0,H3,908,8,64430,64430,440158,0
2009,388,3,0,H3,90121,8,247,247,7941,0
2009,388,2,0,H3,90810,8,35,35,341,0
2009,388,1,0,H3,90810,8,62939,62939,432966,0
2009,388,1,0,H3,90820,8,146,146,1403,0
2009,388,2,0,H3,90111,8,1344351,1344351,33814758,0
2009,388,3,0,H3,90111,8,16,16,110,0
2009,388,1,0,H3,90830,8,1345,1345,5789,0
2009,388,1,0,H3,909,8,42369,42369,115145,0
2009,388,2,0,H3,9,1,,,39977614,0
2009,388,3,0,H3,9,1,,,362588,0
2009,388,2,0,H3,901,8,1401619,1401619,35050316,0
2009,388,3,0,H3,901,8,263,263,8051,0
2009,388,1,0,H3,90910,8,3428,3428,12616,0
2009,388,1,0,H3,90920,8,28337,28337,64582,0
2009,388,1,0,H3,90930,8,10141,10141,35478,0
2009,388,1,0,H3,90940,8,35,35,280,0
2009,388,1,0,H3,90950,8,428,428,2189,0
2009,388,3,0,H3,910,8,69717,69717,344214,0
2009,388,2,0,H3,910,8,265422,265422,1206368,0
2009,388,1,0,H3,910,8,309999,309999,1124730,0
2009,388,3,0,H3,91010,8,69717,69717,344214,0
2009,388,2,0,H3,91010,8,81881,81881,416387,0
2009,388,1,0,H3,91010,8,66186,66186,252945,0
2009,388,1,0,H3,91020,8,9193,9193,28389,0
2009,388,2,0,H3,91030,8,55518,55518,62740,0
2009,388,1,0,H3,91030,8,125250,125250,390817,0
2009,388,2,0,H3,91091,8,1875,1875,5573,0
2009,388,1,0,H3,91091,8,17606,17606,123339,0
2009,388,2,0,H3,91099,8,126147,126147,721667,0
2009,388,1,0,H3,91099,8,91765,91765,329240,0
2009,388,1,0,H3,904,8,532273,532273,1635523,0
2009,388,2,0,H3,904,8,720554,720554,2625898,0
2009,388,1,0,H3,90300,8,238,238,677,0
2009,388,2,0,H3,90300,8,641,641,5809,0
2009,388,1,0,H3,903,8,238,238,677,0
2009,388,2,0,H3,903,8,641,641,5809,0
2009,388,1,0,H3,90240,8,77438,77438,394874,0
2009,388,2,0,H3,90240,8,12348,12348,71513,0
2009,388,1,0,H3,90230,8,53246,53246,137481,0
2009,388,2,0,H3,90230,8,60115,60115,698792,0
2009,388,1,0,H3,90220,8,23836,23836,141934,0
2009,388,2,0,H3,90220,8,4323,4323,50800,0
2009,388,1,0,H3,90210,8,642712,642712,1024971,0
2009,388,2,0,H3,90611,8,5529,5529,15263,0
2009,388,1,0,H3,90611,8,1138,1138,5539,0
2009,388,2,0,H3,90210,8,25474,25474,111307,0
2009,388,1,0,H3,902,8,797232,797232,1699259,0
2009,388,2,0,H3,902,8,102260,102260,932412,0
2009,388,1,0,H3,90190,8,33,33,140,0
2009,388,1,0,H3,90122,8,14778,14778,117147,0
2009,388,1,0,H3,90121,8,0,0,1,0
2009,388,2,0,H3,90121,8,41768,41768,976855,0
2009,388,1,0,H3,90112,8,17637,17637,66629,0
2009,388,2,0,H3,90112,8,4179,4179,126301,0
2009,388,1,0,H3,90111,8,197755,197755,771839,0
2009,388,1,0,H3,901,8,230202,230202,955755,0
2009,388,1,0,H3,9,1,,,6103319,0
2010,388,2,0,H3,90810,8,480,480,1412,0
2010,388,1,0,H3,90810,8,26544,26544,218348,0
2010,388,1,0,H3,90820,8,465,465,737,0
2010,388,2,0,H3,90412,8,17674,17674,100972,0
2010,388,3,0,H3,90412,8,20,20,84,0
2010,388,1,0,H3,90830,8,105,105,517,0
2010,388,2,0,H3,90411,8,113694,113694,446117,0
2010,388,2,0,H3,909,8,433,433,871,0
2010,388,2,0,H3,904,8,1061739,1061739,3829892,0
2010,388,3,0,H3,904,8,20,20,84,0
2010,388,1,0,H3,909,8,35063,35063,122963,0
2010,388,2,0,H3,90910,8,24,24,89,0
2010,388,3,0,H3,90240,8,4900,4900,51314,0
2010,388,1,0,H3,90910,8,3475,3475,9739,0
2010,388,2,0,H3,90230,8,115270,115270,1107259,0
2010,388,3,0,H3,90230,8,13400,13400,17216,0
2010,388,1,0,H3,90920,8,18817,18817,64723,0
2010,388,2,0,H3,90220,8,6510,6510,51956,0
2010,388,3,0,H3,90220,8,35,35,1060,0
2010,388,1,0,H3,90930,8,11901,11901,44108,0
2010,388,2,0,H3,90210,8,51604,51604,378821,0
2010,388,3,0,H3,90210,8,1782,1782,160370,0
2010,388,1,0,H3,90940,8,501,501,2207,0
2010,388,2,0,H3,902,8,180065,180065,1607192,0
2010,388,3,0,H3,902,8,20117,20117,229961,0
2010,388,2,0,H3,90950,8,409,409,782,0
2010,388,2,0,H3,90190,8,37,37,3984,0
2010,388,1,0,H3,90950,8,370,370,2186,0
2010,388,2,0,H3,90122,8,10384,10384,140770,0
2010,388,3,0,H3,90122,8,100,100,469,0
2010,388,3,0,H3,910,8,72048,72048,365275,0
2010,388,2,0,H3,90121,8,97399,97399,2103491,0
2010,388,3,0,H3,90121,8,2,2,184,0
2010,388,2,0,H3,910,8,346934,346934,1568340,0
2010,388,1,0,H3,910,8,236024,236024,1013249,0
2010,388,3,0,H3,9,1,,,597319,0
2010,388,3,0,H3,91010,8,71903,71903,364008,0
2010,388,2,0,H3,901,8,927531,927531,21873206,0
2010,388,3,0,H3,901,8,430,430,2000,0
2010,388,2,0,H3,91010,8,101846,101846,566521,0
2010,388,1,0,H3,91010,8,79361,79361,358180,0
2010,388,3,0,H3,90111,8,78,78,299,0
2010,388,1,0,H3,91020,8,506,506,16870,0
2010,388,2,0,H3,90112,8,19224,19224,433222,0
2010,388,3,0,H3,90112,8,250,250,1048,0
2010,388,2,0,H3,91030,8,75397,75397,100078,0
2010,388,1,0,H3,91030,8,58207,58207,266375,0
2010,388,2,0,H3,91091,8,2039,2039,10596,0
2010,388,1,0,H3,91091,8,38050,38050,148281,0
2010,388,3,0,H3,91099,8,145,145,1267,0
2010,388,2,0,H3,91099,8,167652,167652,891144,0
2010,388,1,0,H3,91099,8,59900,59900,223544,0
2010,388,1,0,H3,90420,8,68454,68454,188037,0
2010,388,2,0,H3,905,8,80293,80293,166991,0
2010,388,1,0,H3,905,8,650,650,16301,0
2010,388,2,0,H3,90500,8,80293,80293,166991,0
2010,388,1,0,H3,90500,8,650,650,16301,0
2010,388,2,0,H3,906,8,719,719,20788,0
2010,388,1,0,H3,906,8,37982,37982,123800,0
2010,388,2,0,H3,90611,8,584,584,20361,0
2010,388,1,0,H3,90611,8,4672,4672,5783,0
2010,388,2,0,H3,90619,8,103,103,254,0
2010,388,1,0,H3,90619,8,663,663,3408,0
2010,388,2,0,H3,90620,8,32,32,173,0
2010,388,1,0,H3,90620,8,32647,32647,114610,0
2010,388,2,0,H3,907,8,3,3,148,0
2010,388,1,0,H3,907,8,2613,2613,12141,0
2010,388,2,0,H3,90700,8,3,3,148,0
2010,388,1,0,H3,90700,8,2613,2613,12141,0
2010,388,2,0,H3,908,8,480,480,1412,0
2010,388,1,0,H3,908,8,27114,27114,219602,0
2010,388,2,0,H3,90420,8,930371,930371,3282803,0
2010,388,1,0,H3,90412,8,72206,72206,285475,0
2010,388,1,0,H3,90411,8,256472,256472,1209160,0
2010,388,1,0,H3,904,8,397132,397132,1682672,0
2010,388,1,0,H3,90240,8,89997,89997,533615,0
2010,388,2,0,H3,90240,8,6680,6680,69156,0
2010,388,1,0,H3,90230,8,37534,37534,197142,0
2010,388,1,0,H3,90220,8,14684,14684,77032,0
2010,388,1,0,H3,90210,8,111107,111107,939440,0
2010,388,1,0,H3,902,8,253322,253322,1747229,0
2010,388,1,0,H3,90190,8,33,33,170,0
2010,388,1,0,H3,90122,8,67,67,197,0
